Row.ID	Name.of.Covered.Entity	State	Covered.Entity.Type	Individuals.Affected	Breach.Submission.Date	Type.of.Breach	Business.Associate.Present	Category
78	"Heriberto Rodriguez-Ayala, M.D."	TX	Healthcare Provider	4200	5/11/2010	Theft	FALSE	ELEC
79	Georgetown University Hospital	DC	Healthcare Provider	2416	5/13/2010	"Other, Theft"	FALSE	OELE
80	Silicon Valley Eyecare Optometry and Contact Lenses	CA	Healthcare Provider	40000	5/13/2010	Theft	FALSE	ELEC
81	Heritage Health Solutions	TX	Business Associate	656	5/14/2010	Theft	TRUE	ELEC
82	Oconee Physician Practices	SC	Healthcare Provider	653	5/20/2010	Theft	FALSE	ELEC
83	University of Rochester Medical Center and Affiliates	NY	Healthcare Provider	2628	5/20/2010	Other	FALSE	HARD
84	DeBoer & Associates	NE	Business Associate	800	5/21/2010	Theft	TRUE	ELEC
85	"City of Charlotte, NC (Health Plan)"	NC	Business Associate	5220	5/24/2010	Loss	TRUE	OTHE
86	VA North Texas Health Care System	TX	Healthcare Provider	4083	5/25/2010	Improper Disposal	FALSE	HARD
87	Rainbow Hospice and Palliative Care	IL	Healthcare Provider	1000	5/26/2010	Theft	FALSE	ELEC
88	Cincinnati Childrens Hospital Medical Center 	OH	Healthcare Provider	60998	6/1/2010	Theft	FALSE	ELEC
89	"University of Louisville Research Foundation, Inc., DBA The Kidney Disease Program"	KY	Healthcare Provider	708	6/1/2010	Hacking/IT Incident	FALSE	ELEC
90	Occupational Health Partners	KS	Healthcare Provider	1105	6/1/2010	Theft	FALSE	ELEC
91	"AvMed, Inc."	FL	Health Plan	1220000	6/3/2010	Theft	FALSE	ELEC
92	UnitedHealth Group health plan single affiliated covered entity	MN	Health Plan	16291	6/4/2010	Other	FALSE	HARD
93	"Siemens Medical Solutions, USA, Inc"	PA	Business Associate	130495	6/4/2010	Theft	TRUE	OTHE
94	"Nihal Saran, MD "	MI	Healthcare Provider	2300	6/4/2010	Theft	FALSE	ELEC
95	St. Jude Children's Research Hospital	TN	Healthcare Provider	1745	6/8/2010	Loss	FALSE	ELEC
96	DentaQuest	MA	Business Associate	10515	6/9/2010	Theft	TRUE	ELEC
97	The Children's Medical Center of Dayton	OH	Healthcare Provider	1001	6/14/2010	Other	FALSE	EM
98	Comprehensive Care Management Corporation	NY	Health Plan	1020	6/14/2010	Theft	FALSE	OELE
99	University of Kentucky	KY	Healthcare Provider	2027	6/18/2010	Theft	FALSE	ELEC
100	alma aguado md pa	TX	Healthcare Provider	600	6/21/2010	Theft	FALSE	ELEC
101	"Augusta Data Storage, Inc"	GA	Business Associate	14000	6/21/2010	Loss	TRUE	OTHE
102	University Health System	NV	Healthcare Provider	7526	6/22/2010	Theft	FALSE	ELEC
103	"Aramark Healthcare Support Services, LLC"	PA	Business Associate	937	6/24/2010	Other	TRUE	EM
104	"Mary M. Desch,MD/PathHealer, LTD"	AZ	Healthcare Provider	5893	6/28/2010	Theft	FALSE	ELEC
105	Children's Hospital & Research Center at Oakland	CA	Healthcare Provider	1000	6/29/2010	Other	FALSE	HARD
106	Centerstone	TN	Healthcare Provider	1537	7/2/2010	Theft	FALSE	SEMI
107	Care 1st Health Plan	CA	Business Associate	29000	7/6/2010	"Loss, Other"	TRUE	OELE
108	Long Island Consultation Center	NY	Healthcare Provider	800	7/7/2010	Theft	FALSE	OELE
109	NYU Hospitals Center	NY	Healthcare Provider	2563	7/7/2010	Theft	FALSE	OELE
110	University of Florida	FL	Healthcare Provider	2047	7/8/2010	Other	FALSE	HARD
111	SunBridge Healthcare Corporation	NM	Healthcare Provider	3830	7/8/2010	Theft	FALSE	ELEC
112	Governor's Office of Information Technology	CO	Business Associate	105470	7/9/2010	Theft	TRUE	ELEC
113	Prince William County Community Services (CS)	VA	Healthcare Provider	669	7/15/2010	Theft	FALSE	OELE
114	UnitedHealthcare Insurance Company 	MN	Business Associate	1097	7/17/2010	Other	TRUE	HARD
115	"Iron Mountain Data Products, Inc. (now known as "	PA	Business Associate	800000	7/19/2010	Loss	TRUE	OELE
116	Montefiore Medical Center	NY	Healthcare Provider	16820	7/23/2010	Theft	FALSE	ELEC
117	The University of Texas at Arlington	TX	Healthcare Provider	27000	7/23/2010	Hacking/IT Incident	FALSE	ELEC
118	"Medina OB/GYN Associates, Inc"	OH	Business Associate	1200	7/23/2010	Improper Disposal	TRUE	HARD
119	Montefiore Medical Center	NY	Healthcare Provider	23753	7/23/2010	Theft	FALSE	ELEC
120	"DC Chartered Health Plan, Inc"	DC	Health Plan	540	7/23/2010	Theft	FALSE	ELEC
121	Aetna	CT	Health Plan	6372	7/27/2010	Improper Disposal	FALSE	HARD
122	Charles Mitchell MD	TX	Healthcare Provider	6873	7/28/2010	Theft	FALSE	ELEC
123	Matrix Imaging	NY	Business Associate	2631	7/30/2010	Theft	TRUE	HARD
124	Baylor College of Medicine	TX	Healthcare Provider	1646	7/30/2010	Theft	FALSE	ELEC
125	Texas Children's Hospital	TX	Healthcare Provider	694	7/30/2010	Theft	FALSE	ELEC
126	Mercer	MI	Business Associate	1073	7/30/2010	Loss	TRUE	OTHE
127	Carolina Center for Development and Rehabilitation	NC	Healthcare Provider	1590	7/30/2010	Theft	FALSE	HARD
128	"WellPoint, Inc."	IN	Health Plan	31700	7/30/2010	Hacking/IT Incident	FALSE	ELEC
129	Wright State Physicians	OH	Healthcare Provider	1309	8/3/2010	Other	FALSE	ELEC
130	Penn Treaty Network America Insurance Company 	PA	Health Plan	560	8/3/2010	Other	FALSE	OTHE
131	Aultman Hospital	OH	Healthcare Provider	13867	8/5/2010	Theft	FALSE	ELEC
132	Jewish Hospital	KY	Healthcare Provider	2089	8/5/2010	Theft	FALSE	ELEC
133	McKesson Pharmacy Systems LLC	GA	Business Associate	11440	8/5/2010	Other	TRUE	OELE
134	"Beauty Dental, Inc."	IL	Healthcare Provider	657	8/5/2010	"Loss, Theft"	FALSE	HARD
135	Fort Worth Allergy and Asthma Associates	TX	Healthcare Provider	25000	8/5/2010	Theft	FALSE	ELEC
136	St. John's Mercy Medical Group	MO	Healthcare Provider	1907	8/9/2010	Improper Disposal	FALSE	HARD
137	UNCG Speech and Hearing Center	NC	Healthcare Provider	2300	8/9/2010	Hacking/IT Incident	FALSE	ELEC
138	"Thomas Jefferson University Hospitals, Inc."	PA	Healthcare Provider	21000	8/9/2010	Theft	FALSE	ELEC
139	Mercer Health & Benefits	ID	Business Associate	5500	8/10/2010	Loss	TRUE	OTHE
140	"Ward A. Morris, DDS"	WA	Healthcare Provider	2698	8/11/2010	Theft	FALSE	ELEC
141	"Chattanooga Family Practice Associates, P.C."	TN	Healthcare Provider	1711	8/16/2010	Loss	FALSE	OELE
142	Yale University	CT	Healthcare Provider	1000	8/18/2010	Theft	FALSE	ELEC
143	Cook County Health & Hospitals System	IL	Healthcare Provider	7081	8/20/2010	Theft	FALSE	ELEC
144	"Eastmoreland Surgical Clinic, William Graham, DO"	OR	Healthcare Provider	4328	8/20/2010	Theft	FALSE	OELE
145	SunBridge Healthcare Corporation	NM	Healthcare Provider	1000	8/25/2010	Theft	FALSE	OELE
146	Pioneer Valley Pathology	MA	Business Associate	24750	8/25/2010	Theft	TRUE	HARD
147	KPMG LLP	NY	Business Associate	956	8/26/2010	Theft	TRUE	OELE
148	KPMG LLP	NY	Business Associate	3630	8/26/2010	Theft	TRUE	OELE
149	NYU School of Medicine--Aging and Dementia Clinical Research Center 	NY	Healthcare Provider	1200	8/27/2010	Loss	FALSE	OELE
150	University of Rochester Medical Center and Affiliates	NY	Healthcare Provider	857	9/7/2010	Loss	FALSE	OELE
151	Aon Consulting	PA	Business Associate	22642	9/7/2010	Other	TRUE	ELEC
152	"Curtis R. Bryan, M.D."	VA	Healthcare Provider	2739	9/8/2010	Theft	FALSE	ELEC
153	Mayo Clinic	MN	Healthcare Provider	1740	9/8/2010	Theft	FALSE	ELEC
154	LabCorp Patient Service Center	NV	Healthcare Provider	507	9/10/2010	Theft	FALSE	HARD
155	The Kent Center 	RI	Healthcare Provider	1361	9/10/2010	Theft	FALSE	HARD
156	"Pediatric and Adult Allergy, PC"	IA	Healthcare Provider	19222	9/11/2010	Loss	FALSE	OELE
157	Ault Chiropractic Center	IN	Healthcare Provider	2000	9/15/2010	Theft	FALSE	MAG
158	County of Los Angeles	CA	Healthcare Provider	33000	9/17/2010	Theft	FALSE	HARD
159	"Matthew H. Conrad, M.D., P.A."	KS	Healthcare Provider	1200	9/19/2010	Theft	FALSE	SEMI
160	CareCore National	SC	Business Associate	1270	9/20/2010	Other	TRUE	HARD
161	Counseling and Psychotherapy of Throggs Neck	NY	Healthcare Provider	9000	9/21/2010	Theft	FALSE	ELEC
162	Alaskan AIDS Assistance Association	AK	Business Associate	2000	9/22/2010	Theft	TRUE	OELE
163	"St. Vincent Hospital and Health Care Center, Inc."	IN	Healthcare Provider	1199	9/23/2010	Theft	FALSE	ELEC
164	Eden Medical Center	CA	Business Associate	1474	9/23/2010	Theft	TRUE	OELE
165	Oroville Hospital	CA	Business Associate	1474	9/23/2010	Theft	TRUE	OELE
166	NewYork-Presbyterian Hospital and Columbia University Medical Center	NY	Healthcare Provider	6800	9/24/2010	Theft	FALSE	ELEC
167	St. James Hospital and Health Centers	IL	Healthcare Provider	967	9/24/2010	Improper Disposal	FALSE	HARD
168	"University of Oklahoma - Tulsa, Neurology Clinic"	OK	Healthcare Provider	19200	9/27/2010	Hacking/IT Incident	FALSE	ELEC
169	"LORENZO BROWN, MD INC."	CA	Healthcare Provider	928	9/29/2010	Theft	FALSE	ELEC
170	Joseph A. Gagnon d/b/a Goldthwait Associates	MA	Business Associate	11000	10/1/2010	Improper Disposal	TRUE	HARD
171	WESTMED Medical Group	NY	Healthcare Provider	578	10/5/2010	Theft	FALSE	ELEC
172	"Cumberland Gastroenterology, P.S.C."	KY	Healthcare Provider	2200	10/5/2010	Theft	FALSE	HARD
173	"Debra C. Duffy, DDS"	TX	Healthcare Provider	4700	10/5/2010	Theft	FALSE	ELEC
174	Johns Hopkins University Applied Physics Laboratory (JHU/APL) Medical and Dental Insurance Plan	MD	Health Plan	692	10/6/2010	Other	FALSE	OTHE
175	LoneStar Audiology Group	TX	Healthcare Provider	585	10/8/2010	Theft	FALSE	ELEC
176	Utah Department of Workforce Services	UT	Business Associate	1298	10/13/2010	Other	TRUE	SEMI
177	SW Seattle Orthopaedic and Sports Medicine	WA	Healthcare Provider	9493	10/15/2010	Hacking/IT Incident	FALSE	ELEC
178	University of Arkansas for Medical Sciences	AR	Healthcare Provider	1000	10/18/2010	Theft	FALSE	OELE
179	Aspen Dental Care P.C.	CO	Healthcare Provider	2500	10/26/2010	Theft	FALSE	OTHE
180	"BlueCross BlueShield of Tennessee, Inc."	TN	Health Plan	1023209	11/1/2010	Theft	FALSE	OTHE
181	Northridge Hospital Medical Center	CA	Business Associate	716	11/2/2010	Loss	TRUE	HARD
182	"Triple-S Management, Corp.; Triple-S Salud, Inc.; "	PR	Business Associate	475000	11/4/2010	"Hacking/IT Incident, Unauthorized Access/Disclosure"	TRUE	ELEC
183	"Aetna, Inc."	CT	Health Plan	2345	11/7/2010	Unauthorized Access/Disclosure	FALSE	ELEC
184	Sta-home Health & Hospice	MS	Healthcare Provider	1104	11/8/2010	Theft	FALSE	ELEC
185	Medical Card System/MCS-HMO/MCS Advantage/MCS Life	PR	Business Associate	115000	11/9/2010	Unauthorized Access/Disclosure	TRUE	OELE
186	VNA of Southeastern Ct.	CT	Healthcare Provider	12000	11/11/2010	Theft	FALSE	ELEC
187	"Prime Home Care, LLC"	NE	Healthcare Provider	1550	11/12/2010	Theft	FALSE	ELEC
188	Visiting Nurse Service Association of Schenectady County	NY	Healthcare Provider	535	11/12/2010	Theft	FALSE	ELEC
189	"Manor Care Indy (South), LLC."	IN	Healthcare Provider	845	11/12/2010	Unauthorized Access/Disclosure	FALSE	HARD
190	"Robert Wheatley, DDS, PC"	MO	Healthcare Provider	1400	11/15/2010	Theft	FALSE	ELEC
191	Henry Ford Hospital	MI	Healthcare Provider	3700	11/15/2010	Theft	FALSE	ELEC
192	Holy Cross Hospital	FL	Healthcare Provider	1500	11/16/2010	Theft	FALSE	HARD
193	"Professional Transcription Company, Inc."	NY	Business Associate	1744	11/24/2010	Theft	TRUE	ELEC
194	Memorial Hospital of Gardena	CA	Healthcare Provider	771	11/25/2010	Unauthorized Access/Disclosure	FALSE	HARD
195	Oklahoma City VA Medical Center	OK	Healthcare Provider	1950	11/29/2010	"Improper Disposal, Loss, Theft"	FALSE	HARD
196	Albert Einstein Healthcare Network	PA	Healthcare Provider	613	11/30/2010	Theft	FALSE	ELEC
197	Kings County Hospital Center	NY	Healthcare Provider	542	11/30/2010	Theft	FALSE	ELEC
198	University of Tennessee Medical Center	TN	Healthcare Provider	8200	11/30/2010	Improper Disposal	FALSE	HARD
199	H.E.L.P. Financial Corporation	MI	Business Associate	9475	12/3/2010	Unauthorized Access/Disclosure	TRUE	HARD
200	zarzamora family dental care	TX	Healthcare Provider	800	12/7/2010	Theft	FALSE	ELEC
201	Hospital Auxilio Mutuo	PR	Healthcare Provider	1000	12/13/2010	"Hacking/IT Incident, Theft, Unauthorized Access/Disclosure"	FALSE	MAG
202	"Gary C. Spinks, DMD, PC"	MD	Healthcare Provider	1000	12/13/2010	Hacking/IT Incident	FALSE	ELEC
203	"Gair Medical Transcription Services, Inc."	PA	Business Associate	1085	12/15/2010	Unauthorized Access/Disclosure	TRUE	ELEC
204	Cook County Health & Hospitals System	IL	Healthcare Provider	556	12/17/2010	Theft	FALSE	ELEC
205	"Dean Health Systems, Inc.; St. Mary's Hospital; St. Marys Dean Ventures, Incorporated"	WI	Healthcare Provider	3288	12/20/2010	Theft	FALSE	ELEC
206	Riverside Mercy Hospital and Ohio/Mercy Diagnostics	OH	Healthcare Provider	1000	12/21/2010	Improper Disposal	FALSE	HARD
207	California Therapy Solutions	CA	Healthcare Provider	1250	12/22/2010	Theft	FALSE	OELE
208	Hils Transcription	IN	Business Associate	585	12/27/2010	Unauthorized Access/Disclosure	TRUE	OTHE
209	The Southwestern Indiana Regional Council on Aging	IN	Business Associate	757	12/27/2010	Theft	TRUE	ELEC
210	Mankato Clinic	MN	Healthcare Provider	3159	12/28/2010	Theft	FALSE	ELEC
211	Geisinger Wyoming Valley Medical Center	PA	Healthcare Provider	2928	12/28/2010	Theft	FALSE	EM
212	Our Lady of Peace Hospital	KY	Healthcare Provider	24600	12/29/2010	"Loss, Theft"	FALSE	OELE
213	"Zenith Administrators, Inc."	MD	Business Associate	800	12/29/2010	Theft	TRUE	HARD
214	"Southern Perioperative Services, P.C."	AL	Healthcare Provider	2000	12/30/2010	Theft	FALSE	OELE
215	Keystone/AmeriHealth Mercy Health Plans	PA	Health Plan	808	12/30/2010	Loss	FALSE	OELE
216	"Ankle + Foot Center of Tampa Bay, Inc."	FL	Healthcare Provider	156000	1/3/2011	Theft	FALSE	ELEC
217	OhioHealth Corporation dba Grant Medical Center	OH	Healthcare Provider	501	1/4/2011	Theft	FALSE	MAG
218	"Seacoast Radiology, PA"	NH	Healthcare Provider	231400	1/10/2011	Hacking/IT Incident	FALSE	ELEC
219	Friendship Center Dental Office	FL	Healthcare Provider	2200	1/11/2011	Theft	FALSE	ELEC
220	Centra	VA	Healthcare Provider	11982	1/12/2011	Theft	FALSE	ELEC
221	St.Vincent Hospital - Indianapolis	IN	Healthcare Provider	1848	1/12/2011	Hacking/IT Incident	FALSE	ELEC
222	Franciscan Medical Group	WA	Healthcare Clearing House	1250	1/13/2011	Theft	FALSE	ELEC
223	State of South Carolina Budget and Control Board Employee Insurance Program (EIP)	SC	Health Plan	5596	1/14/2011	Theft	FALSE	ELEC
224	Lake Woods Nursing & Rehabilitation Center	MI	Healthcare Provider	656	1/18/2011	Theft	FALSE	MAG
225	J. A. Still Corporation	MO	Business Associate	4800	1/18/2011	Theft	TRUE	OTHE
226	Travis Software Corp.	TX	Business Associate	16200	1/18/2011	Loss	TRUE	OELE
227	"Grays Harbor Pediatrics, PLLC"	WA	Healthcare Provider	12009	1/21/2011	Theft	FALSE	OELE
228	"Hanger Prosthetics & Orthotics, Inc."	TX	Healthcare Provider	4486	1/24/2011	Theft	FALSE	ELEC
229	Baylor Heart and Vascular Center	TX	Healthcare Provider	8241	1/25/2011	Theft	FALSE	OELE
230	"CHC MEMPHIS CMHC, LLC"	TN	Healthcare Provider	500	1/28/2011	Theft	FALSE	ELEC
231	Jefferson Center for Mental Health	CO	Healthcare Provider	546	2/7/2011	Theft	FALSE	HARD
232	Integranetics	KY	Business Associate	18871	2/7/2011	Hacking/IT Incident	TRUE	ELEC
233	"Ortho Montana, PSC"	MT	Healthcare Provider	37000	2/8/2011	Theft	FALSE	ELEC
234	Cancer Care Northwest P.S.	WA	Healthcare Provider	3100	2/9/2011	Theft	FALSE	HARD
235	Saint Louis University	MO	Healthcare Provider	800	2/10/2011	Hacking/IT Incident	FALSE	ELEC
236	GRM Information Management Services	NJ	Business Associate	1700000	2/11/2011	Theft	TRUE	OELE
237	Long Beach Memorial Medical Center	CA	Healthcare Provider	2250	2/11/2011	Unauthorized Access/Disclosure	FALSE	OTHE
238	Texas Health Harris Methodist Hospital Azle	TX	Healthcare Provider	9922	2/13/2011	"Loss, Theft"	FALSE	OELE
239	Business Express	FL	Business Associate	2700	2/15/2011	Theft	TRUE	OELE
240	Xforia Web Services	WV	Business Associate	3655	2/16/2011	Unauthorized Access/Disclosure	TRUE	ELEC
241	Mountain Vista Medical Center	AZ	Healthcare Provider	2291	2/21/2011	Loss	FALSE	OELE
242	Departamento de Salud de Puerto Rico	PR	Healthcare Provider	2621	2/22/2011	Unknown	FALSE	ELEC
243	Henry Ford Hospital	MI	Healthcare Provider	2777	2/23/2011	Loss	FALSE	OELE
244	TriWest Healthcare Alliance Corp.	AZ	Business Associate	4500	3/1/2011	Unauthorized Access/Disclosure	TRUE	HARD
245	Blue Cross and Blue Shield of Florida 	FL	Health Plan	7366	3/3/2011	Unknown	FALSE	OTHE
246	"University Health Services, University of Massachusetts, Amherst"	MA	Healthcare Provider	942	3/7/2011	Unauthorized Access/Disclosure	FALSE	ELEC
247	"Omnicare, Inc"	KY	Healthcare Provider	8845	3/10/2011	Theft	FALSE	ELEC
248	"JEFFREY J. SMITH, MD"	OK	Healthcare Provider	600	3/16/2011	Theft	FALSE	OELE
249	"Coventry Health Care, Inc."	MD	Business Associate	765	3/18/2011	Unauthorized Access/Disclosure	TRUE	HARD
250	Texas Health Arlington Memorial Hospital	TX	Healthcare Provider	654	3/23/2011	Unknown	FALSE	ELEC
251	NYU School of Medicine Faculty Group Practice	NY	Healthcare Provider	670	3/28/2011	Theft	FALSE	ELEC
252	"Rape & Brooks Orthodontics, P.C."	AL	Healthcare Provider	20744	3/28/2011	Theft	FALSE	OELE
253	Clarksburg - Louis A. Johnson VA Medical Center	WV	Healthcare Provider	1470	3/30/2011	Unauthorized Access/Disclosure	FALSE	HARD
254	County of Los Angeles	CA	Healthcare Provider	667	3/30/2011	Theft	FALSE	ELEC
255	EISENHOWER MEDICAL CENTER	CA	Healthcare Provider	514330	3/30/2011	Theft	FALSE	ELEC
256	Trisha Elaine Cordova	AK	Business Associate	1700	3/31/2011	Theft	TRUE	ELEC
257	"Park Avenue Obstetrics & Gynecology, PC"	AZ	Healthcare Provider	635	3/31/2011	Theft	FALSE	OELE
258	"Brian J Daniels D.D.S.,Paul R Daniels D.D.S."	AZ	Business Associate	10000	4/4/2011	Theft	TRUE	OELE
